"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Anthony Banda",5200,"SF@ARI 09:40PM ET",8.020,"ARI"
"SP","Jordan Lyles",5200,"SD@LAD 10:10PM ET",2.159,"SD"
"RP","Odrisamer Despaigne",5200,"MIA@COL 08:40PM ET",3.788,"MIA"
"1B","Anthony Rizzo",5100,"CHC@STL 08:15PM ET",9.503,"CHC"
"SP","Jesse Hahn",5100,"SEA@OAK 10:05PM ET",9.425,"OAK"
"SP","Henderson Alvarez",5100,"WAS@PHI 07:05PM ET",9.050,"PHI"
"OF","A.J. Pollock",5100,"SF@ARI 09:40PM ET",8.514,"ARI"
"SP","Joan Gregorio",5100,"SF@ARI 09:40PM ET",0,"SF"
"SP","Ty Blach",5100,"SF@ARI 09:40PM ET",6.420,"SF"
"RP","Frank Duncan",5100,"SF@ARI 09:40PM ET",0,"ARI"
"SP","Taylor Clarke",5100,"SF@ARI 09:40PM ET",0,"ARI"
"SP","Adam Conley",5100,"MIA@COL 08:40PM ET",8.778,"MIA"
"SP","Daniel Wright",5000,"LAA@CWS 08:10PM ET",4.608,"LAA"
"OF","Andrew Benintendi",5000,"TOR@BOS 07:10PM ET",8.490,"BOS"
"3B","Kris Bryant",5000,"CHC@STL 08:15PM ET",9.257,"CHC"
"SP","John Gant",5000,"CHC@STL 08:15PM ET",3.825,"STL"
"RP","Alec Mills",5000,"CHC@STL 08:15PM ET",0,"CHC"
"OF","George Springer",5000,"HOU@TEX 08:05PM ET",9.470,"HOU"
"SP","David Paulino",5000,"HOU@TEX 08:05PM ET",12.242,"HOU"
"OF","Bryce Harper",5000,"WAS@PHI 07:05PM ET",10.830,"WAS"
"SP","Walker Buehler",5000,"SD@LAD 10:10PM ET",2.742,"LAD"
"1B","Justin Bour",5000,"MIA@COL 08:40PM ET",8.703,"MIA"
"RP","Vicente Campos",4900,"LAA@CWS 08:10PM ET",0,"LAA"
"SP","Sean Reid-Foley",4900,"TOR@BOS 07:10PM ET",0,"TOR"
"OF","Dexter Fowler",4900,"CHC@STL 08:15PM ET",8.412,"STL"
"1B/OF","Matt Olson",4900,"SEA@OAK 10:05PM ET",8.966,"OAK"
"SP","Albert Suarez",4900,"SF@ARI 09:40PM ET",4.566,"SF"
"SP","Brad Keller",4900,"SF@ARI 09:40PM ET",0,"ARI"
"SP","Travis Wood",4900,"SD@LAD 10:10PM ET",2.944,"SD"
"SP","Brandon Morrow",4900,"SD@LAD 10:10PM ET",3.961,"LAD"
"RP","Edward Paredes",4900,"SD@LAD 10:10PM ET",3.144,"LAD"
"SP","Chris O'Grady",4900,"MIA@COL 08:40PM ET",7.822,"MIA"
"SP","Dylan Covey",4800,"LAA@CWS 08:10PM ET",2.209,"CWS"
"SP","Abel De los Santos",4800,"LAA@CWS 08:10PM ET",0,"LAA"
"SP","Nick Tepesch",4800,"TOR@BOS 07:10PM ET",4.713,"TOR"
"OF","Tommy Pham",4800,"CHC@STL 08:15PM ET",9.721,"STL"
"SP","Paolo Espino",4800,"HOU@TEX 08:05PM ET",3.835,"TEX"
"RP","Brady Rodgers",4800,"HOU@TEX 08:05PM ET",0,"HOU"
"3B","Jake Lamb",4800,"SF@ARI 09:40PM ET",8.632,"ARI"
"SP","Braden Shipley",4800,"SF@ARI 09:40PM ET",3.015,"ARI"
"SP","Robbie Erlin",4800,"SD@LAD 10:10PM ET",0,"SD"
"SP","Bud Norris",4700,"LAA@CWS 08:10PM ET",2.942,"LAA"
"SP","Alex Meyer",4700,"LAA@CWS 08:10PM ET",15.777,"LAA"
"SP","Chi Chi Gonzalez",4700,"HOU@TEX 08:05PM ET",0,"TEX"
"SP","Mark Appel",4700,"WAS@PHI 07:05PM ET",0,"PHI"
"1B/OF","Cody Bellinger",4700,"SD@LAD 10:10PM ET",9.866,"LAD"
"SP","Anderson Espinoza",4700,"SD@LAD 10:10PM ET",0,"SD"
"SP","Michael Kopech",4600,"LAA@CWS 08:10PM ET",0,"CWS"
"SP","Lucas Harrell",4600,"TOR@BOS 07:10PM ET",1.963,"TOR"
"SS","Xander Bogaerts",4600,"TOR@BOS 07:10PM ET",7.472,"BOS"
"RP","Matt Albers",4600,"WAS@PHI 07:05PM ET",3.721,"WAS"
"RP","Jake Buchanan",4600,"SF@ARI 09:40PM ET",-1.230,"ARI"
"SP","Christian Friedrich",4600,"SD@LAD 10:10PM ET",0,"SD"
"SP","Dillon Overton",4600,"SD@LAD 10:10PM ET",1.875,"SD"
"2B","DJ LeMahieu",4600,"MIA@COL 08:40PM ET",7.649,"COL"
"3B","Josh Donaldson",4500,"TOR@BOS 07:10PM ET",8.927,"TOR"
"RP","Chris Smith",4500,"TOR@BOS 07:10PM ET",0.613,"TOR"
"SS","Carlos Correa",4500,"HOU@TEX 08:05PM ET",9.408,"HOU"
"SP","Jeremy Guthrie",4500,"WAS@PHI 07:05PM ET",-24.500,"WAS"
"SP","Clay Buchholz",4500,"WAS@PHI 07:05PM ET",-2.450,"PHI"
"SP","Jeff Locke",4500,"MIA@COL 08:40PM ET",4.543,"MIA"
"OF","Gerardo Parra",4500,"MIA@COL 08:40PM ET",7.134,"COL"
"OF","Marcell Ozuna",4500,"MIA@COL 08:40PM ET",9.150,"MIA"
"2B/3B","Eduardo Nunez",4400,"TOR@BOS 07:10PM ET",8.588,"BOS"
"SP","Cesar Valdez",4400,"TOR@BOS 07:10PM ET",2.836,"TOR"
"RP","Rob Zastryzny",4400,"CHC@STL 08:15PM ET",3.183,"CHC"
"SP","Raul Alcantara",4400,"SEA@OAK 10:05PM ET",2.893,"OAK"
"OF/SS","Marwin Gonzalez",4400,"HOU@TEX 08:05PM ET",8.023,"HOU"
"OF","Aaron Altherr",4400,"WAS@PHI 07:05PM ET",8.050,"PHI"
"RP","Fernando Rodney",4400,"SF@ARI 09:40PM ET",2.981,"ARI"
"SP","Jorge De La Rosa",4400,"SF@ARI 09:40PM ET",1.921,"ARI"
"RP","David Hernandez",4400,"SF@ARI 09:40PM ET",2.643,"ARI"
"RP","T.J. McFarland",4400,"SF@ARI 09:40PM ET",1.916,"ARI"
"RP","J.J. Hoover",4400,"SF@ARI 09:40PM ET",2.469,"ARI"
"RP","Randall Delgado",4400,"SF@ARI 09:40PM ET",6.562,"ARI"
"RP","Jake Barrett",4400,"SF@ARI 09:40PM ET",2.046,"ARI"
"SP","Matt Koch",4400,"SF@ARI 09:40PM ET",-7.800,"ARI"
"RP","Andrew Chafin",4400,"SF@ARI 09:40PM ET",2.111,"ARI"
"RP","Silvino Bracho",4400,"SF@ARI 09:40PM ET",2.364,"ARI"
"RP","Jimmie Sherfy",4400,"SF@ARI 09:40PM ET",4.164,"ARI"
"SP","Tim Melville",4400,"SD@LAD 10:10PM ET",-0.875,"SD"
"SP","Jarred Cosart",4400,"SD@LAD 10:10PM ET",4.257,"SD"
"SP","Jake Esch",4400,"SD@LAD 10:10PM ET",-1.200,"SD"
"OF","Justin Upton",4300,"LAA@CWS 08:10PM ET",9.426,"LAA"
"3B","Rafael Devers",4300,"TOR@BOS 07:10PM ET",8.549,"BOS"
"1B","Matt Carpenter",4300,"CHC@STL 08:15PM ET",7.896,"STL"
"RP","Santiago Casilla",4300,"SEA@OAK 10:05PM ET",2.499,"OAK"
"RP","Chris Hatcher",4300,"SEA@OAK 10:05PM ET",3.459,"OAK"
"RP","Jeanmar Gomez",4300,"SEA@OAK 10:05PM ET",2.458,"SEA"
"RP","John Axford",4300,"SEA@OAK 10:05PM ET",1.439,"OAK"
"RP","Liam Hendriks",4300,"SEA@OAK 10:05PM ET",2.956,"OAK"
"SP","Tyler Cloyd",4300,"SEA@OAK 10:05PM ET",7.050,"SEA"
"RP","Daniel Coulombe",4300,"SEA@OAK 10:05PM ET",1.607,"OAK"
"SS","Marcus Semien",4300,"SEA@OAK 10:05PM ET",8.179,"OAK"
"RP","Cody Martin",4300,"SEA@OAK 10:05PM ET",-5.700,"SEA"
"RP","Josh Smith",4300,"SEA@OAK 10:05PM ET",2.644,"OAK"
"RP","Blake Treinen",4300,"SEA@OAK 10:05PM ET",2.694,"OAK"
"SP","Andrew Triggs",4300,"SEA@OAK 10:05PM ET",12.533,"OAK"
"RP","Bobby Wahl",4300,"SEA@OAK 10:05PM ET",2.493,"OAK"
"RP","Frankie Montas",4300,"SEA@OAK 10:05PM ET",2.643,"OAK"
"RP","Ryne Harper",4300,"SEA@OAK 10:05PM ET",0,"SEA"
"RP","Max Povse",4300,"SEA@OAK 10:05PM ET",0.083,"SEA"
"RP","Ryan Dull",4300,"SEA@OAK 10:05PM ET",2.451,"OAK"
